Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,257069121536
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,88018763776
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,25770225664
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,7091887616
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,4696829440
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",21246232576
HUM,Humana Inc.,Health Care,Managed Health Care,52647071744
HBAN,Huntington Bancshares,Financials,Regional Banks,7611721216
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,6902487040
IEX,IDEX Corporation,Industrials,Industrial Machinery,11189665792
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,25002577920
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,26527913984
ITW,Illinois Tool Works,Industrials,Industrial Machinery,49184292864
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,49244999680
INCY,Incyte,Health Care,Biotechnology,20893892608
IR,Ingersoll Rand,Industrials,Industrial Machinery,11005541376
INTC,Intel Corp.,Information Technology,Semiconductors,246757507072
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,51148840960
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,103865606144
IP,International Paper,Materials,Paper Packaging,12203922432
IPG,Interpublic Group,Communication Services,Advertising,5988367360
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,13700434944
INTU,Intuit Inc.,Information Technology,Application Software,74130522112
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,60689170432
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,3074603008
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,7751574016
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,25627367424
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,6454337024
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,14540835840
J,Jacobs Engineering Group,Industrials,Construction & Engineering,9393436672
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,10349942784
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,13083580416
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,396612501504
JCI,Johnson Controls International,Industrials,Building Products,21170313216
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,261739020288
JNPR,Juniper Networks,Information Technology,Communications Equipment,7604528640
KSU,Kansas City Southern,Industrials,Railroads,12718454784
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,21954867200
KEY,KeyCorp,Financials,Regional Banks,9480946688
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,17761298432
KMB,Kimberly-Clark,Consumer Staples,Household Products,47213436928
KIM,Kimco Realty,Real Estate,Retail REITs,3957603584
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,33560510464
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,25959852032
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,2723014912
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,35677437952
KR,Kroger Co.,Consumer Staples,Food Retail,25558972416
